SiteNumber,Type,LocationID,EffectiveDate,Region,DistrictOffice,State,StateName,County,CountyState,City,FacilityName,Ownership,Use,Owner,OwnerAddress,OwnerCSZ,OwnerPhone,Manager,ManagerAddress,ManagerCSZ,ManagerPhone,ARPLatitude,ARPLatitudeS,ARPLongitude,ARPLongitudeS,ARPMethod,ARPElevation,ARPElevationMethod,MagneticVariation,MagneticVariationYear,TrafficPatternAltitude,ChartName,DistanceFromCBD,DirectionFromCBD,LandAreaCoveredByAirport,BoundaryARTCCID,BoundaryARTCCComputerID,BoundaryARTCCName,ResponsibleARTCCID,ResponsibleARTCCComputerID,ResponsibleARTCCName,TieInFSS,TieInFSSID,TieInFSSName,AirportToFSSPhoneNumber,TieInFSSTollFreeNumber,AlternateFSSID,AlternateFSSName,AlternateFSSTollFreeNumber,NOTAMFacilityID,NOTAMService,ActivationDate,AirportStatusCode,CertificationTypeDate,FederalAgreements,AirspaceDetermination,CustomsAirportOfEntry,CustomsLandingRights,MilitaryJointUse,MilitaryLandingRights,InspectionMethod,InspectionGroup,LastInspectionDate,LastOwnerInformationDate,FuelTypes,AirframeRepair,PowerPlantRepair,BottledOxygenType,BulkOxygenType,LightingSchedule,BeaconSchedule,ATCT,UNICOMFrequencies,CTAFFrequency,SegmentedCircle,BeaconColor,NonCommercialLandingFee,MedicalUse,SingleEngineGA,MultiEngineGA,JetEngineGA,HelicoptersGA,GlidersOperational,MilitaryOperational,Ultralights,OperationsCommercial,OperationsCommuter,OperationsAirTaxi,OperationsGALocal,OperationsGAItin,OperationsMilitary,OperationsDate,AirportPositionSource,AirportPositionSourceDate,AirportElevationSource,AirportElevationSourceDate,ContractFuelAvailable,TransientStorage,OtherServices,WindIndicator,IcaoIdentifier,MinimumOperationalNetwork
10049.*A,AIRPORT,'MBL,4/22/21,AGL,DET,MI,MICHIGAN,MANISTEE,MI,MANISTEE,MANISTEE COUNTY-BLACKER,PU,PU,MANISTEE BLACKER ARPT AUTHORITY,2323 AIRPORT RD,"MANISTEE, MI 49660-9710",    231-723-4351,BARRY LIND,2323 AIRPORT RD,"MANISTEE, MI 49660-9710",    231-723-4351,44-16-20.9000N,159380.9000N,086-14-48.8000W,310488.8000W,E,621,S,06W,2015,,GREEN BAY,3,NE,290,ZMP,ZCP,MINNEAPOLIS,ZMP,ZCP,MINNEAPOLIS,N,LAN,LANSING,,1-800-WX-BRIEF,,,,MBL,Y,4/1/40,O,IV A S 09/2005,NGY,NO OBJECTION,N,N,N,Y,S,F,12112019,,100LLA,MINOR,MINOR,,,SEE RMK,SS-SR,N,122.8,122.8,Y,CG,N,,8,1,0,0,0,0,0,1000,,250,2500,1500,65,12/11/19,FAA,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE",CHTR,Y-L,KMBL,N
10064.02*A,AIRPORT,'SAW,4/22/21,AGL,DET,MI,MICHIGAN,MARQUETTE,MI,MARQUETTE,SAWYER INTL,PU,PU,MARQUETTE COUNTY,125 G AVENUE,"GWINN, MI 49841",    906-346-3308,DUANE DURAY,"SAWYER INTL AIRPORT,  125 G AVENUE","GWINN, MI 49841",    906-346-3308,46-20-56.9700N,166856.9700N,087-23-46.9380W,314626.9380W,E,1204,S,04W,2000,,GREEN BAY,17,S,2100,ZMP,ZCP,MINNEAPOLIS,ZMP,ZCP,MINNEAPOLIS,N,GRB,GREEN BAY,,1-800-WX-BRIEF,,,,SAW,Y,,O,I B S 09/1999,NGYP,NOT ANALYZED,N,N,N,Y,F,F,8012019,10011976,100LLA,MAJOR,MAJOR,,HIGH/LOW,SEE RMK,SS-SR,Y,122.7,119.975,Y,CG,Y,,36,4,1,0,,0,,2219,,5304,3809,4476,1358,12/31/17,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AVNCS,CARGO,INSTR,RNTL",Y-L,KSAW,Y
10127.*A,AIRPORT,'MKG,4/22/21,AGL,DET,MI,MICHIGAN,MUSKEGON,MI,MUSKEGON,MUSKEGON COUNTY,PU,PU,MUSKEGON COUNTY,99 SINCLAIR DR,"NORTON SHORES, MI 49441-5542",    231-798-4596,JOEL BURGESS,99 SINCLAIR DR,"NORTON SHORES, MI 49441-5542",    231-798-4596,43-10-03.6182N,155403.6182N,086-14-07.5794W,310447.5794W,E,628,S,04W,1995,,CHICAGO,4,S,1200,ZAU,ZCG,CHICAGO,ZAU,ZCG,CHICAGO,N,LAN,LANSING,,1-800-WX-BRIEF,,,,MKG,Y,4/1/40,O,I A S 05/1973,NGRY,NO OBJECTION,N,N,N,Y,F,F,11042020,,100LLA,MAJOR,MAJOR,NONE,LOW,SEE RMK,SS-SR,Y,122.95,126.25,N,CG,Y,,57,16,5,2,,1,,26,,2106,9890,12195,346,12/31/20,NGS,,FAA,00:00.0,,"HGR,TIE","AFRT,AMB,CARGO,CHTR,INSTR,RNTL,SALES",Y-L,KMKG,N
10218.*A,AIRPORT,'PLN,4/22/21,AGL,DET,MI,MICHIGAN,EMMET,MI,PELLSTON,PELLSTON RGNL/EMMET COUNTY,PU,PU,EMMET COUNTY,1395 N US HIGHWAY 31,"PELLSTON, MI 49769-9307",    231-539-8441,KELLEY ATKINS,1395 N US HIGHWAY 31,"PELLSTON, MI 49769-9307",    231-539-8441,45-34-15.3000N,164055.3000N,084-47-48.2000W,305268.2000W,E,720,S,06W,1985,,LAKE HURON,1,NW,1675,ZMP,ZCP,MINNEAPOLIS,ZMP,ZCP,MINNEAPOLIS,N,LAN,LANSING,,1-800-WX-BRIEF,,,,PLN,Y,3/1/41,O,I A S 05/1973,NGY3,NO OBJECTION,N,N,N,Y,F,F,10232019,,100LLA,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,123,123,Y,CG,Y,,34,9,4,0,,,,1923,,0,768,8129,32,9/30/20,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,TIE,CHTR,Y-L,KPLN,N
10232.*A,AIRPORT,'PTK,4/22/21,AGL,DET,MI,MICHIGAN,OAKLAND,MI,PONTIAC,OAKLAND COUNTY INTL,PU,PU,COUNTY OF OAKLAND,1200 N TELEGRAPH RD,"PONTIAC, MI 48341",    248-666-3900,CHERYL BUSH,6500 PATTERSON PKWY,"WATERFORD, MI 48327-1683",    248-666-3900,42-39-56.2903N,153596.2903N,083-25-13.8203W,300313.8203W,E,980,S,07W,2020,,DETROIT,5,W,750,ZOB,ZCC,CLEVELAND,ZOB,ZCC,CLEVELAND,N,LAN,LANSING,,1-800-WX-BRIEF,,,,PTK,Y,4/1/40,O,IV A U 11/1974,NGY,NO OBJECTION,N,Y,N,Y,F,F,2062020,,100LLA,MAJOR,MAJOR,NONE,HIGH,SEE RMK,SS-SR,Y,122.95,120.5,N,CG,Y,,296,96,194,13,0,0,0,247,,9075,66271,47435,304,12/31/20,FAA,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES",Y-L,KPTK,N
10299.*A,AIRPORT,'MBS,4/22/21,AGL,DET,MI,MICHIGAN,SAGINAW,MI,SAGINAW,MBS INTL,PU,PU,MBS INTERNATIONAL,8500 GARFIELD RD STE 101,"FREELAND, MI 48623-8626",    989-695-5555,JAMES CANDERS,8500 GARFIELD RD STE 101,"FREELAND, MI 48623-8626",    989-695-5555,43-31-58.5370N,156718.5370N,084-04-46.6890W,302686.6890W,E,668,S,07W,2020,,DETROIT,9,NW,3200,ZOB,ZCC,CLEVELAND,ZOB,ZCC,CLEVELAND,N,LAN,LANSING,,1-800-WX-BRIEF,,,,MBS,Y,3/1/43,O,I B S 05/1973,NGPY3,NO OBJECTION,N,Y,N,Y,1,F,5232019,,100LLA,MINOR,MINOR,HIGH,,SEE RMK,SS-SR,Y,122.95,120.1,Y,CG,Y,,4,6,10,1,,,,1548,,5054,2366,8926,402,12/31/19,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE",,Y-L,KMBS,N
10329.*A,AIRPORT,'CIU,4/22/21,AGL,DET,MI,MICHIGAN,CHIPPEWA,MI,SAULT STE MARIE,CHIPPEWA COUNTY INTL,PU,PU,CHIPPEWA COUNTY ECON DEV CORP,5019 W AIRPORT DR,"KINCHELOE, MI 49788-1643",    906-495-5631,TAMI L BESEAU,5019 W AIRPORT DR,"KINCHELOE, MI 49788-1643",    906-495-5631,46-15-02.7040N,166502.7040N,084-28-20.5850W,304100.5850W,E,799,S,07W,2015,800,LAKE HURON,15,S,1850,ZMP,ZCP,MINNEAPOLIS,ZYZ,ZYZ,TORONTO,N,GRB,GREEN BAY,,1-800-WX-BRIEF,,,,CIU,Y,,O,I A S 04/1977,NGPY,NO OBJECTION,Y,N,N,Y,F,F,9252019,,100LLA,,,NONE,NONE,SEE RMK,SS-SR,N,123,123,Y,CG,N,,6,2,1,0,,,,1456,,1184,353,475,30,8/31/20,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE",,Y-L,KCIU,N
10379.*A,AIRPORT,'TVC,4/22/21,AGL,DET,MI,MICHIGAN,GRAND TRAVERSE,MI,TRAVERSE CITY,CHERRY CAPITAL,PU,PU,GRAND TRAVERSE & LEELANAU CO,"NORTHWESTERN RGNL ARPT CMSN, 727 FLY DONT DR","TRAVERSE CITY, MI 49686",    231-947-2250,"KEVIN C KLEIN, AAE",727 FLY DONT DR,"TRAVERSE CITY, MI 49686",    231-947-2250,44-44-29.7000N,161069.7000N,085-34-54.7000W,308094.7000W,E,623,S,05W,1985,,GREEN BAY,2,S,1026,ZMP,ZCP,MINNEAPOLIS,ZMP,ZCP,MINNEAPOLIS,N,LAN,LANSING,,1-800-WX-BRIEF,,,,TVC,Y,4/1/40,O,I B S 05/1973,NGPVY3,NO OBJECTION,N,N,N,Y,F,F,8152019,,100LLA+,MAJOR,MAJOR,,,SEE RMK,SS-SR,Y,122.95,124.2,Y,CG,Y,,82,13,3,6,,,,11187,,8637,39434,32288,6378,12/31/19,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AGRI,AMB,AVNCS,CARGO,CHTR,INSTR,RNTL",Y-L,KTVC,Y
10546.*A,AIRPORT,'BJI,4/22/21,AGL,DMA,MN,MINNESOTA,BELTRAMI,MN,BEMIDJI,BEMIDJI RGNL,PU,PU,CITY OF BEMIDJI / BELTRAMI CO,"3824 MOBERG DRIVE, STE. 101","BEMIDJI, MN 56601",    218-444-2438,KAREN WELLER,"3824 MOBERG DRIVE, STE 101","BEMIDJI, MN 56601",    218-444-2438,47-30-38.6000N,171038.6000N,094-56-05.0000W,341765.0000W,E,1391,S,01E,2015,,TWIN CITIES,3,NW,1740,ZMP,ZCP,MINNEAPOLIS,ZMP,ZCP,MINNEAPOLIS,N,PNM,PRINCETON,,1-800-WX-BRIEF,,,,BJI,Y,9/1/46,O,I A S 05/1973,NGY3,NO OBJECTION,N,N,N,Y,F,F,8272019,,100LLA,MAJOR,MAJOR,HIGH/LOW,NONE,SEE RMK,SS-SR,N,122.8,122.8,N,CG,N,,37,31,,3,,,,1502,,2123,3004,6555,650,12/31/19,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AMB,AVNCS,CARGO,CHTR,INSTR,RNTL",Y-L,KBJI,N
10576.*A,AIRPORT,'BRD,4/22/21,AGL,DMA,MN,MINNESOTA,CROW WING,MN,BRAINERD,BRAINERD LAKES RGNL,PU,PU,BRAINERD/CROW WING CNTY,"16384 AIRPORT RD, SUITE 5","BRAINERD, MN 56401",    218-825-2166,STEVEN WRIGHT,"BRAINERD LAKES REGIONAL ARPT, 16384 AIRPORT RD SUITE 5","BRAINERD, MN 56401",    218-825-2166,46-24-15.2000N,167055.2000N,094-08-01.7000W,338881.7000W,E,1232,S,03E,1995,,TWIN CITIES,3,NE,2597,ZMP,ZCP,MINNEAPOLIS,ZMP,ZCP,MINNEAPOLIS,N,PNM,PRINCETON,,1-800-WX-BRIEF,,,,BRD,Y,10/1/48,O,I A S 05/1973,NGY,NO OBJECTION,N,N,N,Y,F,F,10082019,,100LLA,MAJOR,MAJOR,HIGH,HIGH,SEE RMK,SS-SR,N,122.7,122.7,Y,CG,N,,69,6,6,8,,,,3100,,1400,18500,14500,400,10/31/18,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AVNCS,CHTR,INSTR,RNTL",Y-L,KBRD,N
10653.*A,AIRPORT,'DLH,4/22/21,AGL,DMA,MN,MINNESOTA,ST LOUIS,MN,DULUTH,DULUTH INTL,PU,PU,"CITY OF DULUTH, MINN",4701 GRINDEN DR,"DULUTH, MN 55811",    218 625-7766,TOM WERNER,4701 GRINDEN DR,"DULUTH, MN 55811",    218 625-7767,46-50-31.4511N,168631.4511N,092-11-35.6540W,331895.6540W,E,1427,S,01W,2020,,GREEN BAY,5,NW,3020,ZMP,ZCP,MINNEAPOLIS,ZMP,ZCP,MINNEAPOLIS,N,PNM,PRINCETON,,1-800-WX-BRIEF,,,,DLH,Y,4/1/40,O,I B S 05/1973,NGPY3,NO OBJECTION,Y,Y,N,Y,F,F,9262019,,100LLA    J8,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,,SS-SR,Y,122.95,,N,CG,Y,,49,10,4,4,,22,,2079,,8790,20692,22899,4216,12/31/19,FAA-EST,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,CARGO,CHTR,INSTR,RNTL,SALES",Y,KDLH,N
10737.*A,AIRPORT,'HIB,4/22/21,AGL,DMA,MN,MINNESOTA,ST LOUIS,MN,HIBBING,RANGE RGNL,PU,PU,CHISHOLM-HIBBING AIRPORT,11038 E. HWY 37,"HIBBING, MN 55746",    218-262-3451,BARRETT ZIEMER,11038 E. HWY 37,"HIBBING, MN 55746",  (218) 262-3452,47-23-11.7000N,170591.7000N,092-50-20.3000W,334220.3000W,E,1353,S,02E,1995,,GREEN BAY,4,SE,1600,ZMP,ZCP,MINNEAPOLIS,ZMP,ZCP,MINNEAPOLIS,N,PNM,PRINCETON,,1-800-WX-BRIEF,,,,HIB,Y,4/1/40,O,I A S 06/1973,NGY3,NO OBJECTION,N,N,N,Y,F,F,9122019,,100LLA,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,123,123,N,CG,Y,,40,0,,1,,,,2525,,2225,14000,10000,100,12/31/19,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,TIE,"AMB,AVNCS",Y-L,KHIB,Y
10749.*A,AIRPORT,'INL,4/22/21,AGL,DMA,MN,MINNESOTA,KOOCHICHING,MN,INTERNATIONAL FALLS,FALLS INTL-EINARSON FLD,PU,PU,CITY OF INTL FALLS,BOX 392,"INTERNATIONAL FALLS, MN 56649",    218-283-4461,THOR EINARSON,3214 2 ND AVE E,"INTERNATIONAL FALLS, MN 56649",    218-283-4461,48-33-56.1000N,174836.1000N,093-24-07.8000W,336247.8000W,E,1185,S,03E,1985,,TWIN CITIES,0,S,681,ZMP,ZCP,MINNEAPOLIS,ZMP,ZCP,MINNEAPOLIS,N,PNM,PRINCETON,,1-800-WX-BRIEF,,,,INL,Y,3/1/42,O,I A S 05/1973,NGY3,NO OBJECTION,Y,Y,N,Y,F,F,9102019,,100LLA,,,NONE,NONE,SEE RMK,SS-SR,N,122.8,122.8,N,CG,N,,20,,,,,,0,1250,,2500,15000,20000,100,12/31/18,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AMB,CHTR,INSTR,RNTL",Y,KINL,Y
10824.*A,AIRPORT,'MSP,4/22/21,AGL,DMA,MN,MINNESOTA,HENNEPIN,MN,MINNEAPOLIS,MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN,PU,PU,METRO ARPT CMSN,6040 28TH AVE SOUTH,"MINNEAPOLIS, MN 55450",    612-726-8100,BRIAN RYKS,6040 28TH AVE SOUTH,"MINNEAPOLIS, MN 55450",  (612) 726-6326,44-52-55.1000N,161575.1000N,093-13-18.4000W,335598.4000W,E,841,S,00E,2015,,TWIN CITIES,6,SW,2930,ZMP,ZCP,MINNEAPOLIS,ZMP,ZCP,MINNEAPOLIS,N,PNM,PRINCETON,,1-800-WX-BRIEF,,,,MSP,Y,4/1/40,O,I E S 05/1973,NGPRSY,NO OBJECTION,N,Y,N,Y,F,F,7192019,,100LLA    A++,MAJOR,MAJOR,HIGH,HIGH,,SS-SR,Y,122.95,,N,CG,Y,,,26,136,0,,16,,372138,,14399,0,18654,885,1/1/20,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AVNCS,CARGO,CHTR",Y-L,KMSP,N
10950.1*A,AIRPORT,'RST,4/22/21,AGL,DMA,MN,MINNESOTA,OLMSTED,MN,ROCHESTER,ROCHESTER INTL,PU,PU,CITY OF ROCHESTER,CITY HALL,"ROCHESTER, MN 55904",    507-282-2328,JOHN C. REED,HELGERSON DR. SW,"ROCHESTER, MN 55902",    507-361-3902,43-54-29.8000N,158069.8000N,092-30-00.1000W,333000.1000W,E,1317,S,01E,2005,,CHICAGO,7,SW,2400,ZMP,ZCP,MINNEAPOLIS,ZMP,ZCP,MINNEAPOLIS,N,PNM,PRINCETON,,1-800-WX-BRIEF,,,,RST,Y,4/1/61,O,I B S 05/1973,NGY,NO OBJECTION,N,Y,N,Y,F,F,10112019,,100LLA,MAJOR,MAJOR,HIGH/LOW,NONE,SEE RMK,SS-SR,Y,122.95,118.3,N,CG,N,,69,0,2,0,,,0,13808,,,15418,17422,3086,12/31/19,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,HGR,"AMB,AVNCS,CHTR,INSTR,RNTL",Y-L,KRST,N
10962.1*A,AIRPORT,'STC,4/22/21,AGL,DMA,MN,MINNESOTA,SHERBURNE,MN,ST CLOUD,ST CLOUD RGNL,PU,PU,CITY OF ST CLOUD,1550 45TH AVE SE SUITE 1,"ST CLOUD, MN 56304-9535",    320-255-7292,BILL P. TOWLE,1550 45TH AVE SE SUITE 1,"ST CLOUD, MN 56304-9535",    320-255-7292,45-32-46.4000N,163966.4000N,094-03-33.8000W,338613.8000W,E,1030,E,03E,1995,,TWIN CITIES,4,E,1414,ZMP,ZCP,MINNEAPOLIS,ZMP,ZCP,MINNEAPOLIS,N,PNM,PRINCETON,,1-800-WX-BRIEF,,,,STC,Y,8/1/70,O,I B S 11/1975,NGY,NO OBJECTION,N,N,N,Y,F,F,1152020,,100LLA,MAJOR,MAJOR,NONE,HIGH,SEE RMK,SS-SR,Y,,118.25,Y,CG,N,,85,3,7,1,0,12,0,305,,549,14059,12534,2598,11/30/18,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AVNCS,CHTR,INSTR,RNTL,SALES",Y-L,KSTC,N
11024.*A,AIRPORT,'TVF,4/22/21,AGL,DMA,MN,MINNESOTA,PENNINGTON,MN,THIEF RIVER FALLS,THIEF RIVER FALLS RGNL,PU,PU,THIEF RIVER FALLS ARPT AUTHORITY,"13722 AIRPORT DRIVE, P.O. BOX 672","THIEF RIVER FALLS, MN 56701",    218-681-7680,JOSEPH HEDRICK,"THIEF RIVER FALLS ARPT, AUTHORITY, 13722  AIRPORT DR.","THIEF RIVER FALLS, MN 56701",    218-684-1013,48-03-56.4380N,173036.4380N,096-11-05.9830W,346265.9830W,E,1118,S,02E,2015,,TWIN CITIES,3,S,916,ZMP,ZCP,MINNEAPOLIS,ZMP,ZCP,MINNEAPOLIS,N,PNM,PRINCETON,,1-800-WX-BRIEF,,,,TVF,Y,7/1/45,O,I A S 05/1973,NGY,NO OBJECTION,N,N,N,Y,F,F,8292019,,100LLA    A+,MAJOR,MAJOR,,,SEE RMK,SS-SR,N,122.8,122.8,N,CG,N,,18,2,3,0,0,0,0,333,,1910,10000,20000,25,12/31/18,FAA-EST,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE",,Y-L,KTVF,Y
11567.*A,AIRPORT,'BBG,4/22/21,ACE,NONE,MO,MISSOURI,TANEY,MO,BRANSON,BRANSON,PU,PU,TANEY COUNTY,4000 BRANSON AIRPORT BLVD.,"HOLLISTER, MO 65672",    417-334-7813,"BRANSON AIRPORT, LLC - JEFF BOURK",4000 BRANSON AIRPORT BLVD.,"HOLLISTER, MO 65672",    417-334-7813,36-31-55.4970N,131515.4970N,093-12-01.9600W,335521.9600W,E,1302,E,02E,2010,,KANSAS CITY,8,SSE,922,ZKC,ZCK,KANSAS CITY,ZKC,ZCK,KANSAS CITY,,COU,COLUMBIA,,1-800-WX-BRIEF,,,,BBG,Y,10/1/08,O,I A S 05/2009,,NO OBJECTION,,,,,1,F,2212019,10082008,100LLA,,,,,SEE RMK,SS-SR,Y,122.95,128.15,,CG,,,5,2,1,,,,,125,,596,,4571,224,12/31/20,OWNER,00:00.0,OWNER,00:00.0,,HGR,,Y,KBBG,N
11605.*A,AIRPORT,'CGI,4/22/21,ACE,NONE,MO,MISSOURI,SCOTT,MO,CAPE GIRARDEAU,CAPE GIRARDEAU RGNL,PU,PU,CITY OF CAPE GIRARDEAU,"CITY HALL, 401 INDEPENDENCE","CAPE  GIRARDEAU, MO 63701",    573-334-1212,MS. KATRINA D. AMOS,PO BOX 617,"CAPE GIRARDEAU, MO 63702",    573-334-6230,37-13-31.1000N,134011.1000N,089-34-14.7000W,322454.7000W,E,341,S,02W,2015,,ST LOUIS,5,SW,557,ZME,ZCM,MEMPHIS,ZME,ZCM,MEMPHIS,,STL,SAINT LOUIS,,1-800-WX-BRIEF,,,,CGI,Y,4/1/43,O,I A S 05/1973,NGRY,NO OBJECTION,N,N,N,Y,F,F,10162019,,100LLA,MAJOR,MAJOR,HIGH,NONE,SEE RMK,SS-SR,Y,122.95,125.525,N,CG,N,,45,7,4,5,0,0,0,0,,1415,10556,12286,218,12/7/20,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AVNCS,CHTR,INSTR,RNTL,SALES",Y-L,KCGI,N
11651.1*A,AIRPORT,'COU,4/22/21,ACE,NONE,MO,MISSOURI,BOONE,MO,COLUMBIA,COLUMBIA RGNL,PU,PU,CITY OF COLUMBIA,P O BOX 6015,"COLUMBIA, MO 65205",  (573) 874-2489,MICHAEL PARKS,11300 S. AIRPORT RD,"COLUMBIA, MO 65201",  (573) 817-5064,38-49-02.4000N,139742.4000N,092-13-04.9000W,331984.9000W,E,889,S,00E,2020,,KANSAS CITY,10,SE,1538,ZKC,ZCK,KANSAS CITY,ZKC,ZCK,KANSAS CITY,N,COU,COLUMBIA,,1-800-WX-BRIEF,,,,COU,Y,,O,I B S 05/1973,NGY,NO OBJECTION,N,N,N,Y,F,F,12052019,2241993,100LLA,MAJOR,MAJOR,NONE,LOW,SEE RMK,SS-SR,Y,122.95,119.3,Y,CG,N,,21,9,14,1,,,,1053,,5584,4922,12363,642,10/30/19,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AVNCS,CHTR,INSTR,RNTL,SALES",Y-L,KCOU,N
11730.*A,AIRPORT,'TBN,4/22/21,ACE,NONE,MO,MISSOURI,PULASKI,MO,FORT LEONARD WOOD,WAYNESVILLE-ST ROBERT RGNL FORNEY FLD,MR,PU,U S ARMY,FORNEY ARMY AIRFIELD,"FT LEONARD WOOD, MO 65473",    573-596-0165,MIKE GUY,FORNEY ARMY AIRFIELD,"FT LEONARD WOOD, MO 65473",    573-596-0165,37-44-29.9000N,135869.9000N,092-08-26.6000W,331706.6000W,E,1159,S,00E,2020,,KANSAS CITY,0,SW,237,ZKC,ZCK,KANSAS CITY,ZKC,ZCK,KANSAS CITY,N,COU,COLUMBIA,,1-800-WX-BRIEF,,,,TBN,Y,4/1/44,O,I A S 02/2019,N,NO OBJECTION,N,N,Y,N,,S,5192020,,100LLA,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,Y,,125.4,N,SCG,N,,9,0,0,0,0,5,0,4637,,0,4378,3824,12968,12/31/19,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE",,Y-L,KTBN,N
11810.*A,AIRPORT,'JLN,4/22/21,ACE,NONE,MO,MISSOURI,JASPER,MO,JOPLIN,JOPLIN RGNL,PU,PU,CITY OF JOPLIN,602 S. MAIN STREET,"JOPLIN, MO 64802-1355",    417-624-0820,MR. STEVE STOCKAM,602 S. MAIN STREET,"JOPLIN, MO 64802",    417-623-0262,37-09-11.4060N,133751.4060N,094-29-55.7080W,340195.7080W,E,977,E,04E,2000,,KANSAS CITY,4,N,970,ZKC,ZCK,KANSAS CITY,ZKC,ZCK,KANSAS CITY,N,COU,COLUMBIA,,1-800-WX-BRIEF,,,,JLN,Y,4/1/40,O,I A S 05/1973,NGY3,NO OBJECTION,N,N,N,Y,F,F,1142020,,100LLA,MAJOR,MAJOR,NONE,LOW,SEE RMK,SS-SR,Y,122.95,119.8,N,CG,N,,105,10,8,2,,,3,1588,,,18624,3725,93,12/31/18,3RD PARTY SURVEY,00:00.0,FAA,00:00.0,,"HGR,TIE","AFRT,AMB,CHTR,INSTR,RNTL,SALES",Y-L,KJLN,N
11816.*A,AIRPORT,'MKC,4/22/21,ACE,NONE,MO,MISSOURI,CLAY,MO,KANSAS CITY,CHARLES B WHEELER DOWNTOWN,PU,PU,CITY OF KANSAS CITY,414 E. 12TH ST,"KANSAS CITY, MO 64106",    816-859-7601,"MELISSA COOPER, A.A.E.",900 RICHARDS ROAD,"KANSAS CITY, MO 64116",  (816) 859-7610,39-07-22.6000N,140842.6000N,094-35-34.2000W,340534.2000W,E,756,S,01E,2020,,KANSAS CITY,0,NW,700,ZKC,ZCK,KANSAS CITY,ZKC,ZCK,KANSAS CITY,N,COU,COLUMBIA,,1-800-WX-BRIEF,,,,MKC,Y,4/1/40,O,IV A U 06/1995,NGY,NO OBJECTION,N,Y,N,Y,F,F,11042019,,100LLA,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SS-SR,SS-SR,Y,122.95,,N,CG,N,,71,20,63,5,0,0,0,161,,15339,40028,17403,949,9/30/20,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES,SURV",Y-L,KMKC,N
11816.6*A,AIRPORT,'MCI,4/22/21,ACE,NONE,MO,MISSOURI,PLATTE,MO,KANSAS CITY,KANSAS CITY INTL,PU,PU,CITY OF KANSAS CITY,601 BRASILIA; PO BOX 20047,"KANSAS CITY, MO 64141",    816-243-3100,MR. BOB JOHNSON,P.O. BOX 20047,"KANSAS CITY, MO 64195",    816-243-5248,39-17-51.4000N,141471.4000N,094-42-50.0000W,340970.0000W,E,1026,S,02E,2015,,KANSAS CITY,15,NW,10680,ZKC,ZCK,KANSAS CITY,ZKC,ZCK,KANSAS CITY,N,COU,COLUMBIA,,1-800-WX-BRIEF,,,,MCI,Y,5/1/56,O,I C S 05/1973,NGY,NO OBJECTION,N,Y,N,Y,F,F,8202020,,100LLA,NONE,NONE,NONE,NONE,,SS-SR,Y,122.95,,N,CG,N,,,,2,,,,,87993,,3393,730,3373,946,7/31/20,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,TIE,CARGO,Y-L,KMCI,N
